"filename", "language", "JSON", "JavaScript", "Batch", "Markdown", "CSS", "wxml", "Less", "comment", "blank", "total"
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 8, 0, 24
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.wxml", "wxml", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.wxss", "CSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 9, 0, 59
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.less", "Less", 0, 0, 0, 0, 0, 0, 119, 2, 6, 127
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.wxml", "wxml", 0, 0, 0, 0, 0, 70, 0, 5, 4, 79
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.wxss", "CSS", 0, 0, 0, 0, 117, 0, 0, 0, 1, 118
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 8, 0, 74
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.less", "Less", 0, 0, 0, 0, 0, 0, 40, 3, 4, 47
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.wxml", "wxml", 0, 0, 0, 0, 0, 28, 0, 0, 0, 28
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.wxss", "CSS", 0, 0, 0, 0, 39, 0, 0, 0, 1, 40
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 41, 1, 82
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.less", "Less", 0, 0, 0, 0, 0, 0, 54, 1, 0, 55
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.wxml", "wxml", 0, 0, 0, 0, 0, 19, 0, 2, 0, 21
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.wxss", "CSS", 0, 0, 0, 0, 52, 0, 0, 0, 1, 53
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 12, 1, 44
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail.less", "Less", 0, 0, 0, 0, 0, 0, 65, 0, 0, 65
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail.wxml", "wxml", 0, 0, 0, 0, 0, 26, 0, 0, 0, 26
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail.wxss", "CSS", 0, 0, 0, 0, 57, 0, 0, 0, 1, 58
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail\paperDetail.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 28, 18, 66
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail\paperDetail.wxml", "wxml", 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
