"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "wxml", "Less", "comment", "blank", "total"
"c:\Users\19332\Desktop\呼吸之友\miniprogram\components\cloudTipModal\index.wxss", "CSS", 0, 51, 0, 0, 0, 0, 0, 6, 57
"c:\Users\19332\Desktop\呼吸之友\miniprogram\components\dk-calendar\dk-calendar.js", "JavaScript", 353, 0, 0, 0, 0, 0, 64, 12, 429
"c:\Users\19332\Desktop\呼吸之友\miniprogram\components\dk-calendar\dk-calendar.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\components\dk-calendar\dk-calendar.wxml", "wxml", 0, 0, 0, 0, 79, 0, 6, 1, 86
"c:\Users\19332\Desktop\呼吸之友\miniprogram\components\dk-calendar\dk-calendar.wxss", "CSS", 0, 107, 0, 0, 0, 0, 6, 15, 128
"c:\Users\19332\Desktop\呼吸之友\miniprogram\envList.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\lib\runtime\runtime.js", "JavaScript", 471, 0, 0, 0, 0, 0, 129, 110, 710
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\createCollection\index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 27, 18, 65
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\createCollection\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\createCollection\index.wxml", "wxml", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\createCollection\index.wxss", "CSS", 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\deployService\index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 28, 18, 66
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\deployService\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\deployService\index.wxml", "wxml", 0, 0, 0, 0, 9, 0, 1, 1, 11
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\deployService\index.wxss", "CSS", 0, 25, 0, 0, 0, 0, 1, 4, 30
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getMiniProgramCode\index.js", "JavaScript", 45, 0, 0, 0, 0, 0, 3, 6, 54
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getMiniProgramCode\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getMiniProgramCode\index.wxml", "wxml", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getMiniProgramCode\index.wxss", "CSS", 0, 52, 0, 0, 0, 0, 0, 7, 59
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getOpenId\index.js", "JavaScript", 44, 0, 0, 0, 0, 0, 11, 6, 61
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getOpenId\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getOpenId\index.wxml", "wxml", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getOpenId\index.wxss", "CSS", 0, 42, 0, 0, 0, 0, 0, 5, 47
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\index.js", "JavaScript", 48, 0, 0, 0, 0, 0, 12, 1, 61
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\index.less", "Less", 0, 0, 0, 0, 0, 39, 0, 1, 40
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\index.wxml", "wxml", 0, 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\index.wxss", "CSS", 0, 37, 0, 0, 0, 0, 0, 1, 38
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\index\index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 28, 18, 75
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\index\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
